Tweets,Sentiment,Word_count,Stop_word_count,Char_count,Punctuation_count,Mention_count,Hashtag_count,Avrg_word_len
alroker hi al im near lake george ny frost last night covered flowers veggie plants june frost happens were moving,1,23,1,140,13,1,0,5.086956521739131
summer ball amazing however feeling like death sitting in bed with a cuppa watching the office,1,16,5,96,1,0,0,5.0
thehurricaneee u look like a hot,1,7,1,42,1,1,0,4.857142857142857
wayknee ahhh same,0,3,0,19,1,1,0,5.333333333333333
vicentemendoza agree am still on ep oh well ive heard about that suicide thingy too thats sad well i jungga tandem,1,24,6,136,11,1,0,4.666666666666667
im soo exhausted i feel sick cant do this anymore,0,10,2,50,0,0,0,4.0
princesita london is one of the most amazing cities i have ever been to,1,15,9,78,2,1,0,4.2
anonyw haha yea sha di abis p,0,10,0,56,2,1,0,4.5
just left bumping the new sarah white it fly don cuco y ms blanca goodluck en espana,1,19,2,107,6,0,0,4.631578947368421
balmainbazaar agree with you about embarrassing compare to swedes who all look like they were born,0,19,8,136,3,1,0,6.157894736842105
about to watch saw iv and drink a lil wine,1,10,4,43,0,0,0,3.3
stoshad i almost bought a hat today but thought i might look too douchey i feel like all the are me somehow,0,24,13,133,2,1,0,4.5
been playing my game for about an hour and my computer decided it needs to restartbefore i could get a chance to save,0,24,13,126,3,0,0,4.25
pdfloral i miss having a retail store it was a lot of work almost like having another kid but loved being my own quotshop girlquot,1,25,9,140,9,1,0,4.6
stevenleedawson i missed the vodka and chinese food what,0,9,2,65,8,1,0,6.222222222222222
chips and milk dont go together,0,6,3,33,1,0,0,4.5
i did already haha,1,4,2,19,0,0,0,3.75
reading my days,1,4,1,20,2,0,0,4.0
jackyan sounds a good heh,1,6,1,38,2,1,0,5.333333333333333
hey fam,1,2,0,10,2,0,0,4.0
teemwilliams hope you have a great show tonight im sure you will though feels like i havent seen u perform live in,0,23,7,127,5,1,0,4.521739130434782
uploading photos on facebook myspace later,1,8,0,70,11,0,0,7.625
my poor little girl has a cold and i need my sleep,0,12,3,56,5,0,0,3.6666666666666665
meet my new best friend httptwitpiccomtsv,1,6,1,49,5,0,0,7.166666666666667
hotjane yeah um jane the only unboring eye candy around there im sure is you,1,16,5,89,8,1,0,4.5625
just got back from now watching so you think you can dance,1,13,4,71,3,0,0,4.461538461538462
goin to sleeping but sad tomorrow have sports,0,9,3,54,0,0,0,5.0
bngr chesterfield is the main road all the way through from heuston main gates to the left isnt being used,1,21,8,117,6,1,0,4.571428571428571
chilfreebies that sucks have you thought about a franchise type business i do this httpbitlyml,0,15,4,109,8,1,0,6.133333333333334
princesammie i just joined honeymagazine i like that website couldnt find you to add you as a friend,0,18,8,109,8,2,0,5.055555555555555
icaruswingz the,0,3,0,23,2,1,0,6.666666666666667
just got this weeks copy of rampr oh wait oops nevermind its billboard,0,13,4,82,11,0,0,5.3076923076923075
ericakelly lol i was,1,4,0,25,2,1,0,5.25
goodnight that game really burned my wallet and me,1,11,5,62,3,0,0,4.636363636363637
vanunu yes we do what happened baby,0,7,0,39,3,1,0,4.571428571428571
howied youre gonna take good care of that little baby and hes gonna be a strong boy thats for sure,1,20,7,105,6,1,0,4.25
attempting to sleep hopefully a good day tomorrow,1,8,2,54,3,0,0,5.625
renblink ok ill come on msn in a bit im off to the in a mo to get my dinner lol speak to u laters,1,27,12,113,4,1,0,3.185185185185185
mishmash well have a good week and hope the hand feels better,1,12,5,66,1,1,0,4.5
so excited starting tomorrow need to call me sophomre haha peace saw kim sang bum on tvhaha,1,21,5,106,7,0,0,4.0476190476190474
tynzboompow do you think im crazy i like her songs too i got rid of them recently and i regret it alot,0,22,6,109,6,1,0,3.9545454545454546
davidarchie i went to watch your concert with david cook both of you are good singers,1,16,7,92,6,1,0,4.75
physics is actually really awesome just,1,7,2,48,2,0,0,5.857142857142857
tonyprice hey good job again nyt my friends u im ur pimp now lol,1,15,1,76,5,1,0,4.066666666666666
dtphulp lol me too you do know that the sound of your voice is great we only need to do some finetuning,1,24,11,125,11,1,0,4.0
omjitssarax i can make things better,1,6,2,39,1,1,0,5.5
nooo also and accident at the airport quotstructural failurequot and i got called in to work all day im tired as i didnt slp,0,27,10,147,6,0,0,4.444444444444445
darthslr gmail is not working for me either,0,8,5,47,1,1,0,4.625
time to head out and sort the broken printer ive only had for a couple months at currys,0,19,9,92,1,0,0,3.8421052631578947
hmm so more weeks until the answer of who made the fsdt is,1,15,8,71,1,0,0,3.7333333333333334
haha just when i was about to talk shit about college life it made me laugh good save mtv,1,19,10,90,0,0,0,3.736842105263158
i hate with,0,5,1,31,0,0,0,5.2
at zoomer makes me think of last summer,0,9,2,48,2,0,0,4.333333333333333
my life made into this comic tear httpisgdaqr,0,8,3,59,9,0,0,6.125
friendley im new at this too lol im just trying to get as many people to follow me check out this site though acemansworldcom its cool,1,26,13,138,3,1,0,4.3076923076923075
heading home so no internet again for the next couple of days,0,12,7,63,1,0,0,4.25
jonasdreamgirl getting ready for tonight y waiting for my nail polish to dry then gotta do my hairampamp makeup xoxo,1,20,7,126,9,1,0,5.3
hates that he had to babysit for a while and missed the last bus to carlisle until ish and will now most likely miss the smiths fest,0,27,17,137,2,0,0,4.074074074074074
no sims today perhaps monday then,0,7,1,37,0,0,0,4.142857142857143
going to see ground zero i dont wanna go reasons,0,10,3,51,2,0,0,4.1
mmmicaela ha i know,1,4,1,21,1,1,0,4.25
jamescantbeseen imy im still sick sicker than yesterday,0,8,2,62,5,1,0,6.75
thank god nyais operation was successful here i am lying on my bed still sleepy cant sleep rock on,1,21,5,119,10,0,0,4.666666666666667
painting my nail,0,3,1,17,0,0,0,4.666666666666667
sexycitymag i want to but im not sure,0,8,3,40,2,1,0,4.0
anc luckyyy there are apparently no robeks in the entire state of pa,0,13,5,74,2,1,0,4.6923076923076925
renato good morning,1,3,0,24,2,1,0,7.0
nisher yeah yeah how the heck are you anyway sastch it up again this year i had to bail out for lack of,0,24,12,117,4,1,0,3.875
yelyahwilliams hayley im yer biggest fan come to the philippines please,0,11,2,78,6,1,0,6.090909090909091
tim i suppose haha,1,4,1,23,1,1,0,4.75
watching an interview with my one true icon lagerfeld he me i love him all his work,1,20,7,107,7,0,0,4.35
after a night of dancing and pretty shoes i have blistered feet question is was worth it,0,18,8,93,1,0,0,4.166666666666667
hoping the old voice pulls through with tonight not feeling tip top capeside will have fun tonight,1,18,6,108,2,0,0,5.0
inexplicably creeped out right now something about my house is scary and im home alone too,0,16,4,96,5,0,0,5.0
in college on a beautiful day like this oo not amused one bit xx,0,15,6,71,5,0,0,3.7333333333333334
ugh i ate too much today i now have a tummy ache,0,12,7,51,2,0,0,3.25
ciaobella yay its about time,1,5,2,33,3,1,0,5.6
loving the hot chicken wings at kfc its finger good,1,11,2,62,2,0,0,4.545454545454546
,0,3,0,26,1,0,0,7.666666666666667
i have my algebra final tomorrow,0,6,3,33,0,0,0,4.5
its after midnight and it has been a day did i mention my kids out of school now whewwhy cant i have that kind of energy,1,27,12,138,7,0,0,4.111111111111111
kathryn i dont know you that well yet or do i,1,11,5,54,6,1,0,3.909090909090909
ryanj thats how i am,0,5,1,26,3,1,0,4.2
not a single tweet in hours i think all the birds been shot,0,13,5,64,3,0,0,3.923076923076923
my baby is now officially off to middle school,0,9,4,48,1,0,0,4.333333333333333
welshdragon tell that to jordi who described his cock n all,0,13,5,79,2,1,0,5.076923076923077
is losing hope fast,0,4,1,20,0,0,0,4.0
justbreathex,1,2,0,19,1,1,0,8.5
robmader do you ever sleep,1,5,2,31,3,1,0,5.0
im at the office trying to finish up so i can get out of here and head out to breeze,1,21,14,93,1,0,0,3.4285714285714284
trying to keep up with the perezwill i am xxxx,0,11,7,54,1,0,0,3.8181818181818183
now i found the final right song httpbitlyurtkr,1,9,2,60,7,0,0,5.555555555555555
just found be in my heart by phil collins on my ipod soundtrack rules wondering if anybody actually reads all this,1,25,9,137,3,0,0,4.48
just reading about opportunities to walk with a and feel calmer httpwwwgetactivewithanimalscomwalkwithllamashtml,1,14,5,128,8,0,0,8.142857142857142
didnt hear oven bell go off pastry officially dead gotta start again,0,15,2,89,2,0,0,4.866666666666666
vallovetwilight too you doll lol,1,6,2,42,3,1,0,6.0
just made some new friends in miami at laughing buddah now hanging out with them n topher httptwitpiccomvqc,1,18,7,118,8,0,0,5.555555555555555
tsk daddy so emo now hahaha,0,8,2,32,2,0,0,3.0
thingsmomslike o wow huge prize congrats to her,1,8,2,51,3,1,0,5.375
is at camp his job it is full of religious nuts,0,11,6,50,2,0,0,3.5454545454545454
widereceiver rubbish,0,2,0,23,2,1,0,10.5
ive had the best weekend in a long time im suffering now though xx,0,14,6,68,1,0,0,3.857142857142857
eddiekemp that does suck im following u ily,0,9,2,48,3,1,0,4.333333333333333
sputuk surely thats the teehee then failedcarmodels via chaplan or the yugo angiggle,1,15,4,100,8,2,1,5.666666666666667
cant sleep and have to be up way early tomorrow,0,10,5,49,1,0,0,3.9
backstreetboys youare so adorable and funny groundctrl live gt httpustreamxc,1,11,2,96,11,1,0,7.636363636363637
jessako i cant wait to see the finished product,1,9,4,50,2,1,0,4.555555555555555
missin my baby,0,3,1,19,4,0,0,5.333333333333333
lauradman sorry laura maybe you can catch a nap later hopefully,0,11,3,75,9,1,0,5.636363636363637
ddlovato httpdemilovatosourcenet your uklondon i knw ur love it ill u when u get here lt,1,20,3,123,14,1,1,5.1
therealrouga im sooooo happy i missed my rouga when are we chillin,0,12,3,73,6,1,0,5.083333333333333
a piece of plastic fell off my iphone g its the tiny piece between the silent button and the volume buttons i lost it,0,24,9,123,3,0,0,4.083333333333333
sitting at work not wanting to work,0,7,3,42,6,0,0,5.0
rollingcherry why wasnt there a quotzugabequot,0,6,3,54,7,1,0,8.0
my gal used do dat scholarette onthelow i hide his keys and cell phone just to get him to stay longer,0,22,9,106,2,1,1,3.8181818181818183
is up for getting ready for work excited to start the day,1,12,5,59,0,0,0,3.8333333333333335
princesshan i got told it was happening and decided not to go about an hour before wish i did now i they sung so what,0,27,16,131,5,1,0,3.8518518518518516
disapointed in myself i got nothing accomplished this weekend besides catch up on sleep god is love god is great all the time,0,23,0,133,7,0,0,4.782608695652174
looking forward to getting flat keys today,1,7,1,43,0,0,0,5.142857142857143
hair meet your soulmate vidal sassoon httptweetsg,1,8,1,59,8,0,0,6.375
im a selfish person and a mean daughteri guess there are some things you never grow out of,0,18,10,95,4,0,0,4.277777777777778
lisjustice davethinkslisgaynohomo rotflmao,1,3,0,46,3,1,2,14.333333333333334
still a lot of life into these old bones httpbitlygnssa,1,10,4,61,5,0,0,5.1
matthewadamdiaz i guess i just need to learn to walk again,0,11,6,60,1,1,0,4.454545454545454
paolakoala only miles but im surrounded by very and long hills,0,13,5,74,3,1,0,4.6923076923076925
carriemrobison got any more on the rocks please i love picnic jazz our area doesnt do that in the summer,0,20,6,113,8,1,0,4.65
andysalmon dont forget you can have coffee if you are gonna get a workout inbst day,1,16,7,90,6,1,0,4.625
lost my keys at the mall took me mins to find them,0,13,6,57,3,0,0,3.3846153846153846
woke up kinda warm with a sore throat allergies or gasp swine maker here i come,0,17,4,88,7,0,0,4.176470588235294
whenever possible watch adhd people clean its fun,1,8,0,54,4,0,0,5.75
fizzyduck hi i would suggest music of my project httpbitlykof fresh kickin different free dl have fun,1,22,4,139,19,1,0,5.318181818181818
going down tonight,1,4,1,31,1,0,0,6.75
at temporary spaces with the love of my life,1,9,5,46,1,0,0,4.111111111111111
ebassman ill be there in a hot minute yo i know u miss me lol see ya soon,1,18,4,84,10,1,0,3.6666666666666665
feverishpoptart i dont know my car is me instead of the we had anticipated,0,17,8,98,6,1,0,4.764705882352941
there is nothing to do for the next hour here i want to just get on the plane and get to buenos aires,0,23,16,104,2,0,0,3.5217391304347827
having an apple,1,3,1,16,0,0,0,4.333333333333333
bobbibillard a large number to go please,1,8,2,46,2,1,0,4.75
aneshaisaplus this is my creative time that is y im up wut r doing up miss,1,18,5,93,5,1,0,4.166666666666667
helbro hicke will be available on june th local time thats pm on the th in new york and in central europe,0,26,8,136,8,2,0,4.1923076923076925
techcommdood er just you,1,4,1,28,3,1,0,6.0
nothing better than a good cup of coffee,1,8,4,41,0,0,0,4.125
chillin with amandacool beans lol,1,5,1,37,3,0,0,6.4
bad day i feel sad,0,6,1,21,1,0,0,2.5
cacheshantel night,1,2,0,20,1,1,0,9.0
why has everyone only got exams left yet i still have gaaaah no fair,0,17,9,77,3,0,0,3.5294117647058822
surprisingly i cant wait for ashleytisdale s new album i listened to the preview and it sounds great,1,18,7,105,4,1,0,4.833333333333333
and the fact that i couldnt spell ridiculous this morning should further prove how out of it i actually am,0,20,9,109,2,0,0,4.45
right now i am texting and on facebook and being super bored if you got my number call me or text me,1,22,13,105,4,0,0,3.772727272727273
carscarscarsi need one ha ha the one i found last night that i wanted so bad is now sold and not to me,0,23,9,121,18,0,0,4.260869565217392
aidan diversity or to win susan best not,0,11,2,88,8,0,0,7.0
no more maggie we will miss her,0,7,4,33,1,0,0,3.7142857142857144
turbolisa hnbzbjhhbxbzjsjjshshann i replied,0,4,0,47,3,1,0,10.75
misskellyo i have sore eyes from cooking onions and have a chest infection great huh hope you are well,1,20,8,107,3,1,0,4.35
kuja calling zidane a idiot who doesnt know how to run life is fun is it not,1,18,7,92,4,0,0,4.111111111111111
this is a status update to twitter from ice timestamp mon jun cest,1,16,4,85,3,0,0,4.3125
there goes the bump truckseries,1,6,1,41,2,0,2,5.833333333333333
ddlovato i wish when am i ever gonna go to one of your shows,0,14,7,64,3,1,0,3.5714285714285716
gabflat it was hot n cold by i know im supposed to hate her and suchbut that song just works for right now,1,25,9,128,10,1,0,4.12
exhausted only monday,0,3,0,24,1,0,0,6.666666666666667
elaineellis wow thats an intense sushi plate im so sad i missed the dinner,0,14,3,81,6,1,0,4.785714285714286
blueinkstains that will have to do i odnt think is good for babies anyhow,0,16,6,97,3,1,0,5.0
i wouldnt but i have to be work did you just get off work,0,15,10,73,5,1,0,3.8666666666666667
norafayerberg i take it you wont be there,0,8,4,44,2,1,0,4.5
blakeeligh i heard about this on cbc this morning i was crying along with you,0,15,7,82,3,1,0,4.4
flaimster yeah that falls into that along with rollerskating,0,11,4,70,5,1,0,5.363636363636363
ahh my bed feels so good back kinda hurts again lost at tonight but kimba lost worse haha good night everyone,0,24,4,131,11,0,0,4.458333333333333
juneninth exactly,0,2,0,19,1,1,0,8.5
mrchrisp whats up chris omg dd how r u i suck at spelling dd always had always will phish,0,21,4,109,13,1,1,4.190476190476191
thechelseastaub haha i do that sometimes toolol we all have moments,1,11,7,72,4,1,0,5.545454545454546
is bored cant wait till tomorrow,1,8,1,38,3,0,0,3.75
jtshea no i remember the first time ive seen this episodethat night i could not sleep so and sad episode,0,22,6,131,6,1,0,4.954545454545454
hi everyone gonna work all day long yeah its ashamed of course there will be tweets,1,16,4,94,10,0,0,4.875
going to oakland tonightyay cant wait to see my girls,1,11,4,67,5,0,0,5.090909090909091
no more rye on the weekend,0,6,4,28,0,0,0,3.5
selenajoey u r soo cute joey follow me,1,9,0,56,3,1,0,5.222222222222222
ctz stop im not going to i dont want to hear how awesome its going to be,0,18,5,83,6,1,0,3.611111111111111
mvshaw currently unemployed but frantically searching ive applied so many places with no luck any ideas,0,16,5,112,5,1,0,5.8125
back in beautiful nashvegas good to be home,1,8,3,46,2,0,0,4.75
jetblue munchies mix had it on my last jetblue flight,1,10,4,56,2,1,0,4.6
fortydeucetwits thats how looked after she won i know she is but she didnt look very excited and poor dina,0,22,10,124,4,1,0,4.636363636363637
shalabhchaudhri btw socializing is work itself it is not an easy to master it but you know that already,1,20,8,121,4,1,0,5.0
gatoanesama whats mean did i hurt your feelings im sure your situation will get better as mine hopefully will,0,19,6,119,8,1,0,5.2105263157894735
chelisamontique i dont know that one,0,6,2,39,2,1,0,5.5
tradeshowdispla form fifty five is back yay,1,7,1,47,3,1,0,5.714285714285714
julieallinson hb,1,2,0,19,2,1,0,8.5
i love it when you wake up to a good news dont you httpannecresciblogspotcom,1,16,7,88,9,0,0,4.5
my mom was supposed be home an hour ago,0,10,4,47,5,0,0,3.7
is at old chicago having some woodchucks with,1,9,3,52,0,0,0,4.777777777777778
out of my favorite httpradarnetcebcl,0,6,2,48,7,0,0,7.0
simondsaid my brother and i both have it he more than i,1,12,9,58,2,1,0,3.8333333333333335
gapinvoid hey fixed the facebookapp somewhat httpappsfacebookcomgapingvoid,1,8,1,90,10,1,0,10.25
disklabs it is boring isnt it i am sure i could count the on track passes since lap on one hand,0,23,9,112,3,1,0,3.869565217391304
xcemeterydrivex httptwitpiccomfmyh frank looks sexy so does ampamp gerard,1,12,0,101,13,1,0,7.416666666666667
i take back what i said about summer thunderstorms still no power,0,12,5,67,1,0,0,4.583333333333333
batjosh awww haha if you say soooooo,1,7,3,38,1,1,0,4.428571428571429
windstreams email is almost as annoying as dealing w that damn bank,0,12,5,71,3,0,0,4.916666666666667
jasonmitchener happy abt ur neck sry bout ur dad my dad died from emphasema he was a smoker it wasnt in his sleep,0,24,8,136,12,1,0,4.625
,0,9,3,56,6,0,0,5.222222222222222
happy mothers day to all your moms,1,7,3,36,1,0,0,4.142857142857143
god dammit why wont this cold go away i am miserable,0,11,3,58,5,0,0,4.2727272727272725
i broke a posts and didnt notice congrats me and my verbal,1,14,5,75,2,0,0,4.357142857142857
battery dying,0,2,0,15,1,0,0,6.5
makin food before i leave yum next time i tweet will prolly be from arizona so idk when it will be,1,22,11,107,7,0,0,3.8636363636363638
praveenjoshi dude you are in public domain,1,7,3,46,3,1,0,5.571428571428571
probably going to see them again in austin tomorrow night thanks to,1,13,6,73,2,0,0,4.615384615384615
cant find my id,0,4,1,17,1,0,0,3.25
huge thunderstorm,1,4,0,35,7,0,0,7.75
lol why am i still awake too excitednervous for ducks,0,10,2,57,3,0,0,4.7
brandiei thanks finally something that i can smile about,1,9,4,59,2,1,0,5.555555555555555
im at work but it doesnt start until so now im an hour early and,0,17,8,82,5,0,0,3.823529411764706
mitchelmusso think you can do a cd signing on the east coast aha,1,13,6,68,3,1,0,4.230769230769231
brotherrat hiyes you would have ftp access this isnt a reply,1,12,4,79,5,1,0,5.5
gapscott omg how did you guess me and tinkerbell are eating some nachos,1,13,6,75,3,1,0,4.769230769230769
karlamartin nope i will be working fri sat mon tues,0,10,3,59,5,1,0,4.9
eating at,1,3,1,20,0,0,0,5.666666666666667
leeanngucci wat wrong with u old friend,0,7,1,46,6,1,0,5.571428571428571
sister up now too poor sis due to my recent recovery will be staying far far away from my family for another week,0,24,11,122,0,0,0,4.041666666666667
thunder woke me up,0,4,1,20,1,0,0,4.0
this weather is making me in a bad mood,0,9,4,40,0,0,0,3.4444444444444446
isabellaxxcsi quotfranznequot still my old account on tg hmm i think nothings new with me haha still a fan how about youu,1,24,8,145,15,1,0,5.041666666666667
being by my cruel and sadistic office mates,0,9,4,54,0,0,0,5.0
waiting in line at the bank its taking forever,0,9,3,50,1,0,0,4.333333333333333
therealsavannah sweetie i just saw your cover of battlefieldits amazinglike always your such a great singer xoxonga,1,17,8,121,5,1,0,6.117647058823529
xomcflyandjb haha thats awesome loved it now i want hints,1,10,1,63,4,1,0,5.2
chubbystewart congrats one million in the pocket and you looked great doing it,1,14,4,94,6,1,0,5.428571428571429
modelmandylynn my current favourites are life house and legal i guess i enjoy,1,16,3,105,3,1,0,5.5625
jamestubb did you like the film i really want to see it but everyone tells me everyone else says its terrible,0,21,13,113,3,1,0,4.380952380952381
ok list of to download today safari chrome firefox,1,11,2,69,5,0,0,5.2727272727272725
saturdaayyyyyyyy but i have no moneyyyy sucks to be me,0,10,6,56,1,0,0,4.6
ikea with looking at baby things,1,7,2,41,0,0,0,4.857142857142857
trataka hi james banksyart is now at banksyart hes been posting there since having probs with his banksyart account,1,20,8,126,8,4,0,5.3
jackalltimelow where have you been tonight alex rian vinny and danny have already joined us we miss you stickamcomwoahitssarrah,0,20,9,141,9,1,0,6.05
quota friend is someone who walks in when the whole world walks outquot cute,1,15,7,84,6,0,0,4.6
offroaddude only wishes he was as good as me,1,9,5,48,3,1,0,4.333333333333333
watching wis through antenna no cable yet ill sure miss you in the future rabbit ears,0,16,4,90,4,0,0,4.625
with moms and broke the bank at the bakeryi tried all those damn macarons madmojo is fun,1,20,8,121,5,1,0,5.05
finally leaving then might go to the mall after that i have to something to do for a few hours and then movies,1,24,13,119,2,0,0,3.9583333333333335
pottymouthmama ebay had to drive an hour to get it but worth the cheapness,1,14,7,78,3,1,0,4.571428571428571
waiting for my,1,4,2,25,0,0,0,5.25
chadtheelder ur welcome i miss ya but i understand family first hope you do a state fair show i might just be persuaded to come out,1,26,8,138,6,1,0,4.3076923076923075
man june is an expensive month,0,6,2,34,3,0,0,4.666666666666667
bkkrakora ew i used to get quotsuicidesquot in mid school and mix like together then drink it i think i remember enjoying it too,0,26,9,148,11,1,0,4.6923076923076925
aww my daddy called me,1,5,0,25,2,0,0,4.0
love me some gottis way i see yu deb,1,9,3,41,4,0,0,3.5555555555555554
i dont feel very well today i dont know why,0,11,3,52,4,0,0,3.727272727272727
emokidsloveme lol righto im with you on that one,1,10,5,54,4,1,0,4.4
justcusmile awww iris im sorry you are having such a rough month hugs,0,13,4,81,9,1,0,5.153846153846154
lipsticknyc hmmm i owed you a story yesterday correct if so blame that on teaching and the massive bday party thrown extension boss,0,23,8,138,5,1,0,4.956521739130435
my poor finger httpbitlyec,0,4,0,37,6,0,0,8.25
should i go to my formal i really dont know,0,10,7,46,2,0,0,3.6
rgoodchild the last search i put in tweetdeck now keeps tweeting a result every minamp i cant get rid of it no matter what i do also,0,27,11,141,8,1,0,4.222222222222222
so who ended up number for west covina showtime bowling thats rightteam thats us that was a long weeks,1,23,5,136,12,0,2,4.826086956521739
erinmabe i cant sleep either very sick this evening,0,9,2,60,8,1,0,5.666666666666667
dianawyatt there are a couple of gordon lightfoot songs that they havent got on blipi might sue them lol,1,19,8,109,3,1,0,4.684210526315789
preparing for going out tonight please please nooo raiiin me and my luck,0,13,7,78,5,0,0,5.0
eliiiiza woolworths geelong west my local,0,6,0,45,3,1,0,6.5
getting ready omgosh so nervous,0,5,1,36,4,0,0,6.2
a guy on a just at me people are such meanies,0,14,6,72,6,0,0,4.142857142857143
watching the universe at channel and talking with my ex girlfriend,0,12,5,77,1,0,0,5.416666666666667
reneehendricks what game you playing there read your post hugs,0,10,3,68,5,1,0,5.8
i cant watch till tonight,0,6,0,35,0,0,0,4.833333333333333
its sunnnnnnnnnnnnnnny definately a day for a bbq via kaaayleigh,1,10,4,69,4,1,0,5.9
found out yesterday im such a hard person to have in ur life wat can i say at least ur thinking about me,0,24,12,109,3,0,0,3.5416666666666665
kacica that is not funny im not an elephant btw nice circus httpbitlyvzwjg go visit it,0,17,5,101,13,1,0,4.9411764705882355
deluv i need my boo,0,5,1,24,4,1,0,3.8
angel then ill be like rape rape haley is touching my special place,0,13,1,77,5,1,0,4.923076923076923
goldstatus south america or europe both have their share of attractive singles,1,12,5,81,2,1,0,5.75
bags are my new best friend,1,7,2,37,0,0,0,4.285714285714286
phatelara nice so if i do celebrate my bday there you must come,1,13,6,71,6,1,0,4.384615384615385
away to schoooooool blah too early,1,6,2,36,1,0,0,5.0
kamikazeemcee oh and i wouldve liked your pants down joke,0,10,3,61,3,1,0,5.1
tareshmonchel thanks ill try my best same u,1,9,1,53,7,1,0,4.888888888888889
my friend from work very fun,1,7,1,40,2,0,0,4.714285714285714
conannn obriennnn ive missed you old friend lol,1,8,0,59,10,0,0,6.25
new mashable iphone app in the now big fan httptinyurlcomdyrdh,1,11,2,82,9,1,0,6.454545454545454
is recovering from food poisoning,0,5,2,34,0,0,0,5.8
charltonbrooker its fucking awful,0,4,0,35,1,1,0,7.75
bethkilpatrick i left my chocolate syrup in your truck and right now i have so much milk,0,17,5,92,3,1,0,4.411764705882353
aveda all day then hopefully some pool time,1,8,3,46,2,0,0,4.75
whos donuts ellohveee,1,5,0,45,5,0,0,7.8
whiteywitters i reallly want to go but i dunno who id go with sounds amazing though xxxxxxxxx,1,17,5,98,4,1,0,4.764705882352941
thenurulh yes yes so true so expensive,0,7,2,44,5,1,0,5.285714285714286
xxkassyxx oh my hoppus yes ill bring the bears,1,10,2,61,7,1,0,5.1
good night tweeps if i cant sleep ill back,1,11,1,55,4,0,0,4.0
hrs and first is over then more to go trying to keep busy but running out of things to do,1,22,12,114,9,0,0,4.181818181818182
first sunday off in ages family channel breakfast in bed you are mine,1,14,7,78,4,0,0,4.571428571428571
quotpokerfacequot is in my head and wont go away trousers hehe,0,11,5,74,10,0,0,5.636363636363637
met hotel new york lunch,1,8,0,38,1,0,0,3.75
neiltring whateverista missdmaree cleverrtia jareed thisisscoman suzysmiles all have great tweets,1,12,2,130,16,7,1,9.833333333333334
jesscorrie aww yeah you better come jk i have tomorrow,0,11,2,67,5,1,0,5.0
